win_1k,win_3k,win_5k,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,0,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.2,0.2,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.3,0.3,0.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.5,0.3,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85,0.6,0.9,0.783333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.3,0.55,0.616666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.3,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,0.5,0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9,0.6,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,0.2,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,0.5,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.1,0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.3,0.2,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.6,0.1,0.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.55,0.3,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6,0.7,0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.65,0.7,0.716666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game_time,e_time,update_time,total_time,game_len,is_jarviscloud,sec/move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.84331797,1.719956522,0.369284932,15.93255942,12.7032,TRUE,0.784620327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
script_name,keep_old_csv,board_width,board_height,n_in_row,learn_rate,adaptive_n,adaptive_sigma_num,dropout,extra_act_fc,optimizer,L2,lr_multiplier,temp,n_playout,c_puct,buffer_size,buffer_size_later,batch_size,play_batch_size,stage0_duration,epochs_early,epochs_full,kl_targ,check_freq,checkpoint_freq,game_batch_num,start_i,best_win_ratio,pure_mcts_playout_num,normalized,only_multi_evaluate,trial_run_name,current_policy_path,best_policy_path,noise,Dirichlet,explore,evaluate_cpu_n,num_ResBlock,use_slap,slap_open,warmup_offset,cc_fn
train_v12_slap.py,FALSE,8,8,5,0.00025,100,3,0,FALSE,Adam,0.0001,1,1,400,5,10000,5000,512,1,1000,10,10,0.02,25,250,5000,0,0,1000,TRUE,TRUE,v12_s0(3)_Adam_0.1noise0.4_0.15D_0expl_2.5e-4lr_1e-4L2_0drp_1250buffer5000_10e,./weights/current_v12_s0(3)_Adam_0.1noise0.4_0.15D_0expl_2.5e-4lr_1e-4L2_0drp_1250buffer5000_10e.model,./weights/best_v12_s0(3)_Adam_0.1noise0.4_0.15D_0expl_2.5e-4lr_1e-4L2_0drp_1250buffer5000_10e.model,"(0.1, 0.4)",0.15,0,7,0,FALSE,TRUE,8,
